Company Name,BAN,Substance Abuse,LCSW,LPC,MFT,LMSW,PLPC,Psychiatric Nurse Practitioner,Psychiatrist,Psychologist,Alcohol and Substance Abuse,Anger Management,Child/Adolescent,Domestic Violence,Faith Based,Family/Marriage,General Mental Health,Post Traumatic Stress,Sexual Assault,Suicide Prevention,Traumatic Brain Injury,Website,Phone Number,Zip Code,Country ,TRICARE,Military Culture,Admin Notes,Location 1,Suite No.
Covenant Counseling,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,5734691956,65101,United States,Yes,"Not yet, but I would like to work with the military community",,"315 Ellis Blvd
Jefferson City, Missouri 65101
(38.552672, -92.194402)",Suite 303
Covenant Counseling STL (ages 14-19),No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,http://www.covenantcounseilngstl.org,3146623883,63125,United States,No,"Not yet, but I would like to work with the military community",,"6220 S. Lindbergh Blvd
St. Louis, Missouri 63125
(38.516345, -90.342855)",Suite 201
Craig McAndrew,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,http://www.networktherapy.com/craigmcandrew/,9132065317,64112,United States,No,"Not yet, but I would like to work with the military community",,"4635 Wyandotte
Kansas City, Missouri 64112
(39.042885, -94.589422)",Suite 204
"Curtis Counseling, LLC",No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,,4172521942,65793,United States,Yes,"Not yet, but I would like to work with the military community",,"2695 State Route U
Willow Springs, Missouri 65793
(36.955959, -91.883576)",
"Cynthia Butler, LCSW",No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,,6604256151,64424,United States,Yes,"Not yet, but I would like to work with the military community",,"4118 Miller Street
Bethany, Missouri 64424
(40.265193, -94.0107)",
"Dana M. Powell and Associates, LLC",No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,6362326401,63103,United States,No,"Not yet, but I would like to work with the military community",,"2323 Locust St
St. Louis, Missouri 63103
(38.633898, -90.212636)",Suite 401
"Danielle Bush, LPC",No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,,3147400195,63104,United States,No,"Not yet, but I would like to work with the military community",,"4353 Clayton Ave
St. Louis, Missouri 63104
(38.632929, -90.255573)",
"Danielle Kiesler, MFT",No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,http://www.danceofchange.com,3148275448,63119,United States,No,"Not yet, but I would like to work with the military community",,"7902 Big Bend Blvd
Webster Groves, Missouri 63119
(38.594881, -90.334287)",
"David Guckes, LPC",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,http://daveglpc.com,3142391094,63304,United States,No,"Not yet, but I would like to work with the military community",,"4249 N. St Peters Parkway
St. Peters, Missouri 63304
(38.743967, -90.60563)",Suite B
"David Guckes, LPC",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,http://daveglpc.com,3142391094,63011,United States,No,"Not yet, but I would like to work with the military community",,"300 Ozark Trail Dr
Ellisville, Missouri 63011
(38.602542, -90.589267)",Suite 220
"Deb Allman, LPC",No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,,4174516106,64850,United States,No,"Not yet, but I would like to work with the military community",,"118 W Spring St
Neosho, Missouri 64850
(36.86972, -94.368709)",
"Deborah Engel, LPC",No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,,3142212286,63122,United States,No,"Not yet, but I would like to work with the military community",,"217 W. Woodbine Ave
St. Louis, Missouri 63122
(38.574259, -90.409564)",
"Department of Health Psychology, School of Health Professions, University of Missouri Health System",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,http://shp.missouri.edu/hp/index.php,5738821561,65212,United States,Yes,"Not yet, but I would like to work with the military community",,"1 Hospital Drive
Columbia, Missouri 65212
(38.937595, -92.326718)",
Dipoto Cunseling Group,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,http://www.dipotocounselinggroup.com,8162688501,64118,United States,Yes,"Not yet, but I would like to work with the military community",,"200 NE 54th Street
Kansas City, Missouri 64118
(39.192322, -94.578607)",Suite 202
"D. Kay Schaffer, LPC, LLC",No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,,3145184234,63028,United States,No,"Not yet, but I would like to work with the military community",,"1237 American Legion Dr.
Festus, Missouri 63028
(38.202713, -90.39701)",
Door To Hope Counseling & Education (SATOP),No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,http://www.satopdoortohope.com/,4177249767,65672,United States,No,"Not yet, but I would like to work with the military community",,"101 State Drive
Hollister, Missouri 65672
(36.600032, -93.242802)",Suite J
Door To Hope Counseling & Education (SATOP),No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,http://www.satopdoortohope.com/,4177249767,65714,United States,No,"Not yet, but I would like to work with the military community",,"234 Village Center Drive
Nixa, Missouri 65714
(37.040542, -93.301421)",
"Dr. Gary C. Kitto & Associates, LLC",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,6608267909,65301,United States,Yes,"Yes, I have training in military culture",,"100 South Limit Ave
Sedalia, Missouri 65301
(38.71373, -93.250066)",
"Dustin Wall, LPC",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,http://www.pollockgroupkc.com/,8168221922,64114,United States,No,"Not yet, but I would like to work with the military community",,"8080 Ward Parkway
Kansas City, Missouri 64114
(38.983855, -94.606809)",Suite 230
Dysart Counseling Services,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,http://www.dysartcounseling.com/,4172242940,65804,United States,No,"Not yet, but I would like to work with the military community",,"1909 E. Bennett
Springfield, Missouri 65804
(37.18885, -93.258994)",Suite 113
"Elizabeth Bennett, MA, LPC",No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,3147291200,63123,United States,No,"Yes, I have training in military culture",,"11144 Tesson Ferry Rd
Afton, Missouri 63123
(38.527058, -90.35089)",Suite 200
Encourage Counseling Services,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,http://www.encouragekc.com,8162179190,64164,United States,No,"Not yet, but I would like to work with the military community",,"4214 NW Cookingham Road
Kansas City, Missouri 64164
(39.311005, -94.629485)",
Equality Counseling (In-Home Counseling),No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,,8164423481,64079,United States,No,"Not yet, but I would like to work with the military community",,"Platte City, Missouri 64079
(39.361402, -94.783009)",
"Evergreen Behavioral Services, LLC",No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://evergreen-behavioral.com/,5735820292,65265,United States,Yes,"Yes, I have training in military culture",,"116 South Jefferson
Mexico, Missouri 65265
(39.172038, -91.882621)",
"Family Counseling Center, Inc.",No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,www.familycounselingcenter.org,5736514177,63701,United States,Yes,"Not yet, but I would like to work with the military community",,"20 South Sprigg Street
Cape Girardeau, Missouri 63701
(37.303988, -89.527007)",
Family Guidance Center for Behavioral Health,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,www.familyguidance.org,8163641501,64501,United States,Yes,"Not yet, but I would like to work with the military community",,"901 Felix
St. Joseph, Missouri 64501
(39.766648, -94.849411)",
Family Guidance Center for Behavioral Health,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,www.familyguidance.org,8163641502,64506,United States,Yes,"Not yet, but I would like to work with the military community",,"724 North 22nd Street
St. Joseph, Missouri 64506
(39.773824, -94.834214)",
Family Guidance Center for Behavioral Health,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,www.familyguidance.org,8163641501,64429,United States,Yes,"Not yet, but I would like to work with the military community",,"101 West 3rd Street
Cameron, Missouri 64429
(39.741318, -94.238462)",
Family Psychology of Springfield,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,http://www.familypsychologyspringfield.com,4178868262,65804,United States,Yes,"Not yet, but I would like to work with the military community",,"2053 S. Waverly Ave
Springfield, Missouri 65804
(37.176261, -93.263826)",Suite D
Family Resource Center,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,http://frcmo.org,3145349350,63139,United States,No,"Not yet, but I would like to work with the military community",,"3309 S. Kingshighway
St. Louis, Missouri 63139
(38.599176, -90.270339)",
"Family Therapy and More, LLC",No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,,5733405167,65203,United States,No,"Not yet, but I would like to work with the military community",,"2201 Chapel Plaza Ct
Columbia, Missouri 65203
(38.928219, -92.364624)",Suite 101
Felix Vincenz,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,http://www.creativechangestl.com/,3149627788,63139,United States,No,"Yes, I have training in military culture",,"8772 Big Bend Blvd
Webster Groves, Missouri 63139
(38.58203, -90.359898)",
First Call - Alcohol/Drug Prevention & Recovery,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,http://www.firstcallkc.org,8163615900,64114,United States,No,"Not yet, but I would like to work with the military community",,"9091 State Line Rd
Kansas City, Missouri 64114
(38.964371, -94.608108)",
First Choice Mental Health,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.firstchoicementalhealth.com,6606657500,63501,United States,No,"Not yet, but I would like to work with the military community",,"1 Crown Drive
Kirksville, Missouri 63501
(40.205207, -92.573976)",Suite 104
"Frances V. Totta, LPC",No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,http://TherapistLocator.net,8164446750,64116,United States,No,"Not yet, but I would like to work with the military community",,"4131 N. Mulberry Drive
Kansas City, Missouri 64116
(39.168469, -94.597559)",
"Fuelling & Associates, LLC",No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,http://www.fuellingandassociates.com/,6604296678,64735,United States,Yes,"Not yet, but I would like to work with the military community",,"115 E. Grandriver
Clinton, Missouri 64735
(38.368163, -93.775935)",
"Fuelling & Associates, LLC",No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,http://www.fuellingandassociates.com/,6604296678,64093,United States,Yes,"Not yet, but I would like to work with the military community",,"407 E. Russell Avenue
Warrensburg, Missouri 64093
(38.773001, -93.732346)",Suite 5A
"Gary Selbert, LPC",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,,3149608639,63628,United States,No,"Yes, I have training in military culture",,"1042 Lafitte Drive
Bonne Terre, Missouri 63628
(37.897945, -90.595614)",
Geo Counseling,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,http://geocounseling.com,9132683597,64137,United States,No,"Not yet, but I would like to work with the military community",,"5354 Longview Road
Kansas City, Missouri 64137
(38.916396, -94.528487)",
Good-Nous Family Counseling Center,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://goodnous4u.com,4173262418,65613,United States,Yes,"Not yet, but I would like to work with the military community",,"2085 S. Boston Pl
Bolivar, Missouri 65613
(37.606535, -93.405614)",
"Greater Ozarks Rural Psychologists, LLC",No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,http://www.go-rp.com,4179278188,65704,United States,No,"Not yet, but I would like to work with the military community",,"827 W Commercial St
Mansfield, Missouri 65704
(37.109897, -92.593641)",
Guided Solutions Counseling & Mediation,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,http://www.gscm.us,6363222225,63028,United States,No,"Not yet, but I would like to work with the military community",,"1170 East Gannon
Festus, Missouri 63028
(38.211025, -90.40055)",Suite A
Hannibal Council on Alcohol & Drug Abuse,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,http://www.hcada.org,5735818828,65265,United States,No,"Not yet, but I would like to work with the military community",,"201 E Monroe Street
Mexico, Missouri 65265
(39.172966, -91.880943)",Suite 103
Hannibal Council on Alcohol & Drug Abuse,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,http://hcada.org,5732481196,63401,United States,No,"Not yet, but I would like to work with the military community",,"146 Communication Drive
Hannibal, Missouri 63401
(39.702233, -91.392039)",
Harness Counseling & Consulting,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,,8165191850,64152,United States,No,"Not yet, but I would like to work with the military community",,"170 English Landing Drive
Parkville, Missouri 64152
(39.188581, -94.685347)",Suite 221D
Harry S Truman VA Medical Center,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,http://www.columbiamo.va.gov/,5738146000,65201,United States,Yes,"Yes, I have training in military culture",,"800 Hospital Drive
Columbia, Missouri 65201
(38.9376, -92.327559)",
Healing on Humphrey,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,http://www.drcheska.com/Kathryn_Stinson__PLPC.html,3148276803,63116,United States,No,"Not yet, but I would like to work with the military community",,"4049 Humphrey Street
St. Louis, Missouri 63116
(38.599213, -90.254947)",
"Health and Healing, LLC",No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,,6603950180,63552,United States,Yes,"Not yet, but I would like to work with the military community",,"303 Weller Street
Macon, Missouri 63552
(39.750842, -92.468596)",
Heartland Counseling Center,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,http://www.heartlandcounselingcenter.com,5738031402,63703,United States,Yes,"Yes, I have training in military culture",,"2909 Independence Street
Cape Girardeau, Missouri 63703
(37.307994, -89.569062)",
HireCoach,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,http://www.CounselorStLouis.com,6365618839,63367,United States,No,"Not yet, but I would like to work with the military community",,"1000 Lake St Louis Blvd
St. Louis, Missouri 63367
(38.789064, -90.75693)",
Hope Counseling Connections,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,https://hopeconnectionscounseling.com/index.php,5734334846,65583,United States,No,"Not yet, but I would like to work with the military community",,"704 Rte 66
Waynesville, Missouri 65583
(37.821671, -92.213679)",Suite 207
H.O.U.S.E. Inc.,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,http://house-inc.org,4176238933,64870,United States,No,"Not yet, but I would like to work with the military community",,"24706 State Hwy 171
Webb City, Missouri 64870
(37.142533, -94.505562)",
H.O.U.S.E. Inc.,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,http://house-inc.org,4176238933,64870,United States,No,"Not yet, but I would like to work with the military community",,"24730 State Hwy 171
Webb City, Missouri 64870
(37.142535, -94.505645)",
House of Refuge Ministries,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,,3147376575,63301,United States,No,"Not yet, but I would like to work with the military community",,"1380 S Fifth Street
St. Charles, Missouri 63301
(38.770803, -90.492996)",
Ingrid Albers,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,http://www.clarityrecovery.org,8005207758,65616,United States,No,"Not yet, but I would like to work with the military community",,"360 Rinehart Road
Branson, Missouri 65616
(36.691622, -93.216906)",
Innergetics Counseling,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://therapists.psychologytoday.com/rms/149403,8165459428,64152,United States,No,"Not yet, but I would like to work with the military community",,"8341 NW Mace Rd
Kansas City, Missouri 64152
(39.246688, -94.682402)",Suite 110
"Intentional Alternatives, LLC",No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,http://www.IntentionalAlternatives.com,3148372022,63033,United States,Yes,"Yes, I have training in military culture",,"11650 New Halls Ferry Road
Florissant, Missouri 63033
(38.778434, -90.275778)",
Jackson Medical Center ,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,,5732047771,63755,United States,Yes,"Yes, I have training in military culture",,"2387 West Jackson Blvd
Jackson, Missouri 63755
(37.384255, -89.69955)",
"James Childers, LPC",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,4173477730,64804,United States,Yes,"Yes, I have served in the military",,"5760 Fairway Drive
Loma Linda, Missouri 64804
(36.987219, -94.593466)",
"Jane Brenneke, LPC",No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,http://www.cccntr.com,5737834104,63645,United States,No,"Not yet, but I would like to work with the military community",,"309 Garrett Street
Fredericktown, Missouri 63645
(37.564703, -90.283134)",
"Janice  Bunch, LPC",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,,5733320416,63703,United States,No,"Not yet, but I would like to work with the military community",,"340 S. Broadview
Cape Girardeau, Missouri 63703
(37.299625, -89.556337)",
"Jay Musgrave, LPC",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,5736495665,63845,United States,No,"Yes, I have training in military culture",,"209 N. Washington
East Prairie, Missouri 63845
(36.780318, -89.386655)",
"Jay Musgrave, LPC",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,5736514206,63701,United States,No,"Yes, I have training in military culture",,"1221 Kingsway Drive
Cape Girardeau, Missouri 63701
(37.322964, -89.55821)",Suite 5
"Jean E. Moretto, Inc",No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,http://walterswalk.com,3147312433,63042,United States,No,"Yes, I have training in military culture",,"737 Dunn Road
Hazelwood, Missouri 63042
(38.782166, -90.374177)",Suite B
Jefferson Barracks,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.stlouis.va.gov/,3146524100,63125,United States,Yes,"Yes, I have training in military culture",,"1 Jefferson Barracks Drive
St. Louis, Missouri 63125
(38.509148, -90.28946)",
"Jennifer Edmondson, LPC",No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,http://www.familyroompsych.com/,3146901784,63123,United States,No,"Not yet, but I would like to work with the military community",,"6220 S. Lindbergh Blvd
St. Louis, Missouri 63123
(38.515935, -90.341047)",
"Jennifer Edmondson, LPC",No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,http://www.familyroompsych.com/,3146901784,63123,United States,No,"Not yet, but I would like to work with the military community",,"5106 Hampton Avenue
St. Louis, MO 63109
(38.585059, -90.292797)",
"Jennifer Salmons, LPC LLC",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,8165905464,64153,United States,Yes,"Not yet, but I would like to work with the military community",,"7280 NW 87th Terrace
Kansas City, Missouri 64153
(39.253334, -94.663645)",Ste 210 
"Joan DiPretore, LPC",No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,3148148223,63104,United States,No,"Not yet, but I would like to work with the military community",,"2316 Rutger Street
St. Louis, Missouri 63104
(38.61905, -90.218143)",
"Jody Amberg, LPC",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,,3146161163,63025,United States,No,"Not yet, but I would like to work with the military community",,"700 Niehoff Dr
Eureka, Missouri 63025
(38.488837, -90.631242)",
John Cochran,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,http://www.stlouis.va.gov/,3146524100,63106,United States,Yes,"Yes, I have training in military culture",,"915 North Grand BLVD
St. Louis, Missouri 63106
(38.642263, -90.22939)",
John J. Pershing VA Medical Center,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,http://www.poplarbluff.va.gov/,5736864151,63901,United States,Yes,"Yes, I have training in military culture",,"1500 North Westwood Blvd
Poplar Bluff, Missouri 63901
(36.771449, -90.417906)",
John Small,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,,5734428550,65201,United States,No,"Not yet, but I would like to work with the military community",,"2100 East Broadway
Columbia, Missouri 65201
(38.948574, -92.307283)",Suite 315
Joy4Ever Counseling,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,,6365416917,63301,United States,No,"Not yet, but I would like to work with the military community",,"2850 West Clay
St. Charles, Missouri 63301
(38.786014, -90.527242)",Suite 255
"Judy Gardner Counseling, LLC",No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,http://www.newhopecounselingkc.com,8167183528,64063,United States,Yes,"Not yet, but I would like to work with the military community",,"656 SE Bayberry Lane
Lee's Summit, Missouri 64063
(38.907903, -94.35917)",Suite 105
"Judy Gardner Counseling, LLC",No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,http://www.newhopecounselingkc.com,8167183528,65301,United States,Yes,"Not yet, but I would like to work with the military community",,"416 South Ohio Avenue
Sedalia, Missouri 65301
(38.707145, -93.228273)",
"Julie Hardy, LCSW",No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,,6608291133,65301,United States,Yes,"Not yet, but I would like to work with the military community",,"3001 Clinton Road
Sedalia, Missouri 65301
(38.685663, -93.248901)",
Kansas City Therapeutic Institute,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,8163823000,64152,United States,No,"Not yet, but I would like to work with the military community",,"7211 NW 83 St
Kansas City, Missouri 64152
(39.244197, -94.662069)",Suite 250
Kansas City VA Medical Center,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,http://www.kansascity.va.gov/,8168614700,64128,United States,Yes,"Yes, I have training in military culture",,"4801 Linwood Blvd
Kansas City, Missouri 64128
(39.067263, -94.52786)",
"Kathleen Leach-Ross, LPC",No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,,3148785570,63141,United States,No,"Not yet, but I would like to work with the military community",,"12150 Royal Valley Drive
Creve Coeur, Missouri 63141
(38.663477, -90.450874)",
"Ken Ostercamp, LPC",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,,5733560991,65201,United States,No,"Not yet, but I would like to work with the military community",,"2100 East Broadway
Columbia, Missouri 65201
(38.948574, -92.307283)",Suite 205
"Ken Thom Counseling, Inc",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,http://kenthomcounseling.com,6605622531,64468,United States,Yes,"Yes, I have training in military culture",,"515 West Cooper
Maryville, Missouri 64468
(40.34314, -94.87877)",
"Keri R. Burns, LPC",No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,http://kburnstherapy.com,3146095377,63105,United States,No,"Not yet, but I would like to work with the military community",,"230 S. Bemiston
Clayton, Missouri 63105
(38.646558, -90.337378)",Suite 430
Kerith Brook Family Counseling,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,,4174690799,65793,United States,No,"Yes, I have served in the military",,"1147 CR 5710
Willow Springs, Missouri 65793
(36.988675, -92.058929)",
"Kim Robinson, LPC",No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,,5732487176,63401,United States,No,"Not yet, but I would like to work with the military community",,"56359 Meyer Trail
Hannibal, Missouri 63401
(39.665957, -91.414179)",
"Kristen Stephenson-Owens, LPC",No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,http://kristen-owens.com/,3142776633,63141,United States,No,"Not yet, but I would like to work with the military community",,"745 Craig Rd
Creve Coeur, Missouri 63141
(38.669484, -90.436222)",Suite 210
"Kylie Swyden, MFT",No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,http://www.hktherapygroup.com,8166071763,64083,United States,No,"Not yet, but I would like to work with the military community",,"207 South Washington Street
Raymore, Missouri 64083
(38.802353, -94.453032)",
"Lace Counseling Center, LLC",No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,,4178594429,65706,United States,No,"Not yet, but I would like to work with the military community",,"310 North Marshall
Marshfield, Missouri 65706
(37.341026, -92.906835)",
"Lace Counseling Center, LLC",No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,,4178594429,65706,United States,No,"Not yet, but I would like to work with the military community",,"110 East Commercial Street
Marshfield, Missouri 65706
(37.335927, -92.906797)",Suite 102
Ladell  Flowers,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,http://www.dismashousekc.com,8165316050,64111,United States,No,"Not yet, but I would like to work with the military community",,"3100 Main
Kansas City, Missouri 64111
(39.071023, -94.585325)",Suite 301
